Team Name,Interval Range,Total Matches,Total Wins,Win Percentage,Interval Side
British Virgin Islands,$-10000000 - $-50000000.0,0,0,0.0,Less Valuable
British Virgin Islands,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
British Virgin Islands,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
British Virgin Islands,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Brunei,$100000 - $500000.0,2,1,50.0,More Valuable
Brunei,$1000000 - $5000000.0,0,0,0.0,More Valuable
Brunei,$5000000.0 - $10000000,0,0,0.0,More Valuable
Brunei,$10000000 - $50000000.0,0,0,0.0,More Valuable
Brunei,$50000000.0 - $100000000,0,0,0.0,More Valuable
Brunei,$100000000 - $500000000.0,0,0,0.0,More Valuable
Brunei,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Brunei,$-100000 - $-500000.0,2,1,50.0,Less Valuable
Brunei,$-1000000 - $-5000000.0,2,0,0.0,Less Valuable
Brunei,$-5000000.0 - $-10000000,0,0,0.0,Less Valuable
Brunei,$-10000000 - $-50000000.0,0,0,0.0,Less Valuable
Brunei,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
Brunei,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
Brunei,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Bulgaria,$100000 - $500000.0,0,0,0,More Valuable
Bulgaria,$1000000 - $5000000.0,2,0,0.0,More Valuable
Bulgaria,$5000000.0 - $10000000,4,2,50.0,More Valuable
Bulgaria,$10000000 - $50000000.0,12,8,66.66666666666666,More Valuable
Bulgaria,$50000000.0 - $100000000,0,0,0,More Valuable
Bulgaria,$100000000 - $500000000.0,0,0,0,More Valuable
Bulgaria,$500000000.0 - $1000000000,0,0,0,More Valuable
Bulgaria,$-100000 - $-500000.0,0,0,0,Less Valuable
Bulgaria,$-1000000 - $-5000000.0,1,0,0.0,Less Valuable
Bulgaria,$-5000000.0 - $-10000000,4,1,25.0,Less Valuable
Bulgaria,$-10000000 - $-50000000.0,19,5,26.31578947368421,Less Valuable
Bulgaria,$-50000000.0 - $-100000000,12,1,8.333333333333332,Less Valuable
Bulgaria,$-100000000 - $-500000000.0,16,1,6.25,Less Valuable
Bulgaria,$-500000000.0 - $-1000000000,2,0,0.0,Less Valuable
Burkina Faso,$100000 - $500000.0,1,0,0.0,More Valuable
Burkina Faso,$1000000 - $5000000.0,5,3,60.0,More Valuable
