"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
125,1,0.0172413793103448,58,"2021_2022"
127,1,0.0185185185185185,54,"2021_2022"
129,1,0.0188679245283019,53,"2021_2022"
131,1,0.0204081632653061,49,"2021_2022"
133,1,0.0222222222222222,45,"2021_2022"
135,1,0.0232558139534884,43,"2021_2022"
137,0,0,38,"2021_2022"
139,0,0,36,"2021_2022"
141,0,0,34,"2021_2022"
143,0,0,31,"2021_2022"
145,0,0,28,"2021_2022"
147,0,0,28,"2021_2022"
149,0,0,28,"2021_2022"
151,0,0,26,"2021_2022"
153,0,0,21,"2021_2022"
155,0,0,19,"2021_2022"
157,0,0,17,"2021_2022"
159,0,0,16,"2021_2022"
161,0,0,15,"2021_2022"
163,0,0,15,"2021_2022"
165,0,0,14,"2021_2022"
167,0,0,11,"2021_2022"
169,0,0,10,"2021_2022"
171,0,0,8,"2021_2022"
173,0,0,8,"2021_2022"
175,0,0,7,"2021_2022"
177,0,0,7,"2021_2022"
179,0,0,6,"2021_2022"
181,0,0,6,"2021_2022"
183,0,0,4,"2021_2022"
185,0,0,4,"2021_2022"
187,0,0,2,"2021_2022"
189,0,0,2,"2021_2022"
191,0,0,2,"2021_2022"
193,0,0,2,"2021_2022"
195,0,0,2,"2021_2022"
197,0,0,2,"2021_2022"
199,0,0,2,"2021_2022"
201,0,0,2,"2021_2022"
203,0,0,2,"2021_2022"
205,0,0,2,"2021_2022"
207,0,NA,0,"2021_2022"
209,0,NA,0,"2021_2022"
1,80,0.157170923379175,509,"2023_2024"
3,78,0.154761904761905,504,"2023_2024"
5,76,0.154158215010142,493,"2023_2024"
7,71,0.147302904564315,482,"2023_2024"
9,70,0.147679324894515,474,"2023_2024"
11,69,0.148068669527897,466,"2023_2024"
13,67,0.146288209606987,458,"2023_2024"
15,66,0.146666666666667,450,"2023_2024"
17,63,0.144495412844037,436,"2023_2024"
19,62,0.144522144522145,429,"2023_2024"
21,60,0.143540669856459,418,"2023_2024"
23,58,0.141119221411192,411,"2023_2024"
25,56,0.14070351758794,398,"2023_2024"
27,52,0.134020618556701,388,"2023_2024"
29,51,0.134210526315789,380,"2023_2024"
31,48,0.128342245989305,374,"2023_2024"
33,45,0.121951219512195,369,"2023_2024"
35,41,0.115492957746479,355,"2023_2024"
37,38,0.112094395280236,339,"2023_2024"
39,38,0.115151515151515,330,"2023_2024"
41,33,0.10410094637224,317,"2023_2024"
43,30,0.0986842105263158,304,"2023_2024"
45,29,0.100694444444444,288,"2023_2024"
47,26,0.0945454545454545,275,"2023_2024"
49,25,0.0922509225092251,271,"2023_2024"
51,23,0.0891472868217054,258,"2023_2024"
53,22,0.0890688259109312,247,"2023_2024"
55,22,0.0909090909090909,242,"2023_2024"
57,19,0.0829694323144105,229,"2023_2024"
59,18,0.0807174887892377,223,"2023_2024"
61,17,0.080188679245283,212,"2023_2024"
63,17,0.0825242718446602,206,"2023_2024"
65,17,0.0833333333333333,204,"2023_2024"
