,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
49,149,4061,"World Cup 2018, Qualifiers, CONCACAF",Mexico vs USA,11-Jun-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
50,150,4062,"World Cup 2018, Qualifiers, CONCACAF",Panama vs Honduras,13-Jun-17,Honduras,HN,2017,FAIL,"['Mario Martínez', 'Rony Martínez', 'Wálter Martínez', 'Douglas Martínez', 'Francisco Martínez', 'Julián Martínez']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Rony Martinez,Martínez,multiple,Done
51,152,4067,"World Cup 2018, Qualifiers, CONCACAF",Honduras vs USA,05-Sep-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
52,154,4070,"World Cup 2018, Qualifiers, CONCACAF",USA vs Panama,06-Oct-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
53,155,4071,"World Cup 2018, Qualifiers, CONCACAF",Mexico vs Trinidad and Tobago,06-Oct-17,Trinidad and Tobago,TT,2017,FAIL,"['Jamali Garcia', 'Justin Garcia']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Justin Garcia,Garcia,multiple,Done
54,156,4075,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs USA,10-Oct-17,Trinidad and Tobago,TT,2017,FAIL,"['Jamali Garcia', 'Justin Garcia']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Justin Garcia,Garcia,multiple,Done
55,157,4075,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs USA,10-Oct-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
56,165,4143,"World Cup 2022, Qualifiers, CONCACAF",Canada vs Honduras,02-Sep-21,Honduras,HN,2021,FAIL,"['Luis López', 'Alexander López', 'Iván López', 'Kevin López', 'Roberto López']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Luis Lopez,López,multiple,Done
57,167,4144,"World Cup 2022, Qualifiers, CONCACAF",El Salvador vs USA,02-Sep-21,USA,US,2021,FAIL,"['Weston McKennie', 'Mark McKenzie', 'Kenny Saief']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Weston Mckennie,Mc Kennie,multiple,Done
58,171,4405,"World Cup 2022, Qualifiers, CONMEBOL",Uruguay vs Ecuador,09-Sep-21,Ecuador,EC,2021,FAIL,"['Leonardo Campana', 'Leonel Quiñónez', 'Leonardo Realpe']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Fernando Leon,Leon,multiple,Done
59,172,2582,"World Cup Qualifiers, Asia, 2022",Saudi Arabia vs Vietnam,02-09-2021,Vietnam,VN,2021,FAIL,"['Minh Toan Tran', 'Phi Son Tran']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Bùi Tấn Trường,Bùi Tn Trng,multiple,Done
